N_docs,ExecutionTimeInsertionMean,ExecutionTimeInsertionTotal,ExecutionTimeSearchMean,ExecutionTimeSearchMax,NumComparisonsInsertionMean,NumComparisonsInsertionTotal,NumComparisonsSearchMean,NumComparisonsSearchMax,TreeHeight,MaxBranch,MinBranch,NumNodes,TreeSizeBytes
10,0.000875259,6.61784,0.000475046,0.00197094,10,82191,11,15,14,14,8,4868,535134
20,0.000821909,10.6577,0.000500397,0.00312148,11,145825,12,15,14,14,9,6870,767491
30,0.000821398,18.6786,0.000518858,0.00303972,11,265703,12,16,15,15,9,10290,1167439
40,0.000844061,26.2393,0.000531742,0.00314902,11,368713,12,16,15,15,10,12380,1427043
50,0.000850105,33.9396,0.000540173,0.00315764,12,480816,13,17,16,16,10,14927,1735731
60,0.000831528,40.8097,0.000545252,0.00321658,12,597185,13,17,16,16,11,16726,1966775
70,0.000834288,46.6792,0.00055054,0.00332794,12,684172,13,17,16,16,11,17933,2129556
80,0.000831705,54.129,0.000555644,0.00333476,12,801415,13,17,16,16,11,19453,2336345
90,0.000840063,61.2087,0.000562392,0.003235,12,900631,13,17,16,16,11,20573,2493896
100,0.000831822,67.875,0.00056628,0.00330742,12,1012708,13,17,16,16,11,21863,2673724
