N_docs,ExecutionTimeInsertionMean,ExecutionTimeInsertionTotal,ExecutionTimeSearchMean,ExecutionTimeSearchMax,NumComparisonsInsertionMean,NumComparisonsInsertionTotal,NumComparisonsSearchMean,NumComparisonsSearchMax,TreeHeight,MaxBranch,MinBranch,NumNodes,TreeSizeBytes
10,0.000513292,3.78809,0.000243301,0.0141358,13,101660,15,33,32,32,6,4559,502703
20,0.000483962,8.17605,0.00025439,0.0553524,14,248375,16,35,34,34,6,8261,930347
30,0.000414594,10.2989,0.00025801,0.0803271,15,373544,17,36,35,35,6,10641,1214916
40,0.000469064,16.0734,0.000890086,0.389149,15,523838,17,37,36,36,6,13196,1528552
50,0.00214265,89.9807,0.000441502,0.138125,15,647189,17,38,37,37,6,14903,1744255
60,0.00097629,50.8442,0.000336771,0.0401561,15,812286,18,39,38,38,6,17230,2033800
70,0.000527542,32.9144,0.000332075,0.0765587,15,980239,18,39,38,38,6,19105,2284619
80,0.000719047,52.1532,0.000378674,0.234567,15,1148047,18,39,38,38,6,20996,2534839
90,0.000800653,63.583,0.00217688,3.51472,15,1258715,18,39,38,38,6,21981,2673314
100,0.00174834,154.295,0.00154184,0.294931,15,1403349,18,39,38,38,6,23351,2862123
110,0.00362784,350.634,0.000672099,0.167322,15,1539615,19,39,38,38,6,24450,3016866
120,0.000758738,80.0545,0.00126367,0.307532,15,1685722,19,39,38,38,6,25728,3194898
130,0.00359003,411.187,0.000861962,0.257737,16,1834198,19,39,38,38,6,26879,3367445
140,0.000997077,125.86,0.000631386,0.18402,16,2030025,19,42,41,41,6,28470,3596245
150,0.00139962,189.803,0.000651302,0.201521,16,2185590,19,42,41,41,7,29603,3767575
160,0.000527162,76.3298,0.000306021,0.0470111,16,2337354,19,42,41,41,7,30515,3916136
170,0.000496554,77.2788,0.000332276,0.0632122,16,2518545,19,42,41,41,7,31665,4092396
180,0.000466187,76.2202,0.000314483,0.052596,16,2648827,19,42,41,41,7,32642,4233605
190,0.000473245,81.1909,0.000307237,0.0828377,16,2781157,19,42,41,41,7,33416,4358743
200,0.000468995,84.3008,0.000325852,0.108646,16,2914957,19,42,41,41,7,34192,4480576
210,0.000439333,82.6482,0.000296487,0.0074397,16,3052537,19,42,41,41,7,34925,4600952
220,0.000448313,90.2459,0.000295466,0.108986,16,3270778,19,42,41,41,7,36103,4794251
230,0.000437636,91.4611,0.000332001,0.0453585,16,3395554,20,42,41,41,7,36718,4898240
240,0.000429951,93.7014,0.000299214,0.00515466,16,3544021,20,42,41,41,7,37510,5024366
250,0.000536896,123.446,0.000410913,0.283792,16,3745027,20,42,41,41,7,38498,5187865
260,0.00333584,792.478,0.00118871,0.297749,16,3870221,20,42,41,41,7,39062,5300849
270,0.000471873,117.227,0.000326011,0.0861697,16,4052683,20,42,41,41,7,40096,5470741
280,0.000561024,145.735,0.000778436,0.42445,16,4241337,20,42,41,41,7,41009,5633119
290,0.000437213,117.773,0.000433778,0.161415,16,4398562,20,42,41,41,7,41741,5767004
300,0.000482245,132.966,0.000296816,0.0473296,16,4500121,20,42,41,41,7,42144,5838757
310,0.000549276,154.819,0.000714418,0.200803,16,4600542,20,42,41,41,7,42613,5925483
320,0.000448649,130.863,0.000423282,0.115609,16,4764955,20,42,41,41,7,43321,6052420
330,0.000457091,137.379,0.000369254,0.110529,16,4914476,20,42,41,41,7,44059,6183873
340,0.000666029,205.377,0.000807949,0.184238,16,5042101,20,42,41,41,7,44491,6270991
350,0.00068065,215.988,0.000305852,0.0531672,16,5192324,20,42,41,41,7,45319,6402383
360,0.000443476,143.195,0.000873078,0.320853,16,5281251,20,42,41,41,7,45570,6456262
370,0.00215904,713.115,0.000402165,0.191852,16,5403588,20,42,41,41,7,46039,6547356
380,0.000437803,148.065,0.00031221,0.0105899,16,5535326,20,42,41,41,7,46660,6658633
390,0.000447582,155.84,0.000329283,0.0996243,16,5704260,20,42,41,41,7,47591,6807206
400,0.000433596,155.277,0.000304091,0.0365599,16,5869264,20,43,42,42,7,48217,6918207
410,0.000471761,173.394,0.000308273,0.0619345,16,6027375,20,43,42,42,7,48810,7026826
420,0.000440351,167.019,0.000305799,0.0503818,16,6224766,20,43,42,42,7,49654,7182439
430,0.000437286,170.144,0.000300614,0.00490764,16,6386994,20,43,42,42,7,50243,7296903
440,0.000434521,175.718,0.000319384,0.137656,16,6649757,20,43,42,42,7,51412,7495750
450,0.000437079,180.017,0.000306933,0.0145557,16,6772429,20,43,42,42,7,51856,7585001
460,0.00043243,180.83,0.000368753,0.134332,16,6875802,20,43,42,42,7,52307,7664990
470,0.000442009,189.192,0.000310264,0.143773,16,7041540,20,43,42,42,7,52957,7784411
480,0.000412193,180.944,0.000305433,0.10036,16,7224783,20,43,42,42,7,53557,7902547
490,0.000454494,203.119,0.000304729,0.0451734,16,7355427,20,43,42,42,7,53966,7982869
500,0.000401247,183.353,0.000305329,0.0819317,16,7521390,20,43,42,42,7,54422,8081198
510,0.000408102,190.561,0.000303337,0.0405556,16,7688974,20,43,42,42,7,55049,8200997
520,0.000400562,190.855,0.000302721,0.129172,16,7849469,21,43,42,42,7,55561,8332355
530,0.000414716,201.354,0.000303347,0.0715818,16,8000332,21,43,42,42,7,56097,8449740
540,0.000410789,204.079,0.000306519,0.0469952,16,8188731,21,43,42,42,7,56704,8577728
550,0.000426879,216.767,0.000306293,0.0342257,16,8372835,21,43,42,42,7,57291,8702986
560,0.000428308,221.311,0.000304888,0.0477174,16,8521381,21,43,42,42,7,57856,8818270
570,0.000419064,219.907,0.000305608,0.0329017,16,8656263,21,43,42,42,7,58329,8916537
580,0.000420666,226.455,0.000308746,0.043606,16,8886913,21,43,42,42,7,59028,9064725
590,0.000413179,226.055,0.000306833,0.0616808,16,9031595,21,43,42,42,7,59413,9154178
600,0.000425977,237.773,0.000306007,0.0421282,16,9216720,21,43,42,42,7,60017,9273801
610,0.00041093,233.014,0.000306736,0.0705304,16,9366259,21,44,43,43,7,60596,9379386
620,0.000424666,244.267,0.000302542,0.0163164,16,9502867,21,44,43,43,7,61154,9481400
630,0.000462391,271.451,0.000309679,0.0612872,16,9704117,21,44,43,43,7,61723,9610585
640,0.0004158,247.045,0.000307047,0.0801559,16,9822001,21,44,43,43,7,62179,9694909
650,0.000427721,257.967,0.000318263,0.0821516,16,9970528,21,44,43,43,7,62525,9785487
660,0.000469236,285.827,0.00031097,0.0516227,16,10069307,21,44,43,43,7,62791,9847762
670,0.000464917,288.5,0.000310909,0.0106582,16,10263971,21,44,43,43,7,63475,9978343
680,0.000421842,265.914,0.000306261,0.0679642,16,10428577,21,44,43,43,7,63957,10095441
690,0.000414792,266.384,0.000315101,0.0942625,16,10627375,21,44,43,43,7,64559,10216669
700,0.000417089,272.349,0.000322344,0.143455,16,10810137,21,44,43,43,7,65037,10332383
710,0.000434583,288.695,0.000309807,0.0630466,16,11002841,21,44,43,43,7,65755,10471341
720,0.000434996,292.144,0.000306368,0.0135785,16,11121393,21,44,43,43,7,66026,10535498
730,0.000423449,288.317,0.000307387,0.0157086,16,11278136,21,44,43,43,7,66516,10638494
740,0.000430651,296.9,0.000313419,0.0300766,16,11421378,21,44,43,43,7,66943,10736125
750,0.000422068,295.045,0.000312485,0.00425236,16,11585604,21,44,43,43,7,67566,10858822
760,0.000411292,291.768,0.000311694,0.0435543,16,11758651,21,44,43,43,7,68090,10968235
770,0.000413983,296.637,0.000305643,0.00412208,16,11876028,21,45,44,44,7,68451,11042554
780,0.0004336,314.867,0.00030758,0.0110407,16,12039168,21,45,44,44,7,68930,11145184
790,0.000405071,297.956,0.000311302,0.0414788,16,12196012,21,45,44,44,7,69339,11232790
800,0.000432879,324.048,0.000494186,0.186005,16,12416181,21,45,44,44,7,70012,11366924
810,0.000433786,328.048,0.000484847,0.131463,16,12544329,21,45,44,44,7,70364,11439891
820,0.000442154,338.758,0.000496604,0.136925,16,12709670,21,45,44,44,7,70786,11541954
830,0.000438557,340.782,0.000529686,0.156166,16,12893478,21,45,44,44,7,71258,11651385
840,0.000434534,341.461,0.000480218,0.127146,16,13040370,21,45,44,44,7,71599,11733949
850,0.000448612,357.744,0.000609481,1.10148,16,13234738,21,45,44,44,7,72073,11849458
860,0.000440789,356.333,0.000529462,0.202099,16,13418424,21,45,44,44,7,72534,11949441
870,0.000436313,355.987,0.000593876,0.117104,16,13544541,21,45,44,44,7,72898,12031259
880,0.000472234,390.087,0.000496193,0.176695,16,13716084,21,45,44,44,7,73334,12138165
890,0.000436113,364.598,0.000472209,0.154464,16,13882143,21,45,44,44,7,73760,12237523
900,0.000426804,359.67,0.000524775,0.122852,16,13992334,21,45,44,44,7,74057,12302105
910,0.000439802,376.633,0.000501213,0.139449,16,14229748,21,45,44,44,7,74664,12442549
920,0.00043312,376.098,0.000516437,0.12713,16,14434431,21,45,44,44,7,75236,12559102
930,0.000430978,378.831,0.000491151,0.111754,16,14614371,21,45,44,44,7,75611,12653304
940,0.000446838,396.868,0.000506108,0.11562,16,14767159,21,45,44,44,7,75927,12729038
950,0.000423295,379.188,0.000508784,0.11586,16,14894164,21,45,44,44,7,76233,12804268
960,0.000427354,387.058,0.000507772,0.122467,16,15061155,21,45,44,44,7,76613,12885612
970,0.000427801,390.701,0.000505524,0.111034,16,15186793,21,45,44,44,7,76904,12952964
980,0.000442556,411.246,0.000506507,0.157234,16,15459309,21,45,44,44,7,77441,13098608
990,0.000430112,404.8,0.000488966,0.113686,16,15662199,21,45,44,44,7,77917,13220235
1000,0.000437181,415.643,0.000497543,0.167069,16,15821488,21,45,44,44,7,78242,13300232
