N_docs,ExecutionTimeInsertionMean,ExecutionTimeInsertionTotal,ExecutionTimeSearchMean,ExecutionTimeSearchMax,NumComparisonsInsertionMean,NumComparisonsInsertionTotal,NumComparisonsSearchMean,NumComparisonsSearchMax,TreeHeight,MaxBranch,MinBranch,NumNodes,TreeSizeBytes
10,0.000533848,3.9398,0.000585856,0.101852,10,79188,11,15,14,14,9,4559,502703
20,0.00203251,34.3372,0.000260495,0.0375448,11,193368,12,16,15,15,9,8261,930347
30,0.00166032,41.244,0.000419696,0.171023,11,290776,12,17,16,16,9,10641,1214916
40,0.000534227,18.3063,0.000257561,0.0637667,11,408892,13,17,16,16,9,13196,1528552
50,0.000541804,22.753,0.000251727,0.0603333,12,505874,13,17,16,16,9,14903,1744255
60,0.000528763,27.5374,0.000267174,0.0929257,12,634884,13,17,16,16,10,17230,2033800
70,0.000519696,32.4249,0.000458171,0.128634,12,767155,13,17,16,16,10,19105,2284619
80,0.00055501,40.2554,0.000320752,0.130396,12,898185,13,18,17,17,10,20996,2534839
90,0.00258579,205.348,0.000429671,0.109696,12,986212,13,18,17,17,10,21981,2673314
100,0.000511174,45.1121,0.000255453,0.0667882,12,1100461,13,18,17,17,10,23351,2862123
110,0.000539099,52.1044,0.000283593,0.0743576,12,1208928,13,18,17,17,10,24450,3016866
120,0.000558273,58.9034,0.000282154,0.0826934,12,1324383,14,18,17,17,10,25728,3194898
130,0.000517918,59.3202,0.000256252,0.0590313,12,1441938,14,18,17,17,10,26879,3367445
140,0.000609574,76.946,0.000299207,0.151637,12,1596324,14,18,17,17,10,28470,3596245
150,0.000495112,67.1427,0.000317577,0.198779,12,1719701,14,18,17,17,10,29603,3767575
160,0.000816528,118.228,0.000388795,0.139523,12,1839850,14,18,17,17,10,30515,3916136
170,0.00167621,260.868,0.000257924,0.0964328,12,1982986,14,18,17,17,10,31665,4092396
180,0.000723757,118.332,0.000283782,0.215446,12,2086611,14,19,18,18,10,32642,4233605
190,0.000507079,86.9954,0.00104881,0.286431,12,2192334,14,19,18,18,10,33416,4358743
200,0.000578387,103.964,0.000753974,0.267453,12,2299788,14,19,18,18,10,34192,4480576
210,0.00279814,526.392,0.000658598,0.251307,12,2409470,14,19,18,18,11,34925,4600952
220,0.00301101,606.12,0.00057007,0.187509,12,2584271,14,19,18,18,11,36103,4794251
230,0.00252842,528.412,0.000282225,0.112026,12,2685126,14,19,18,18,11,36718,4898240
240,0.000531542,115.842,0.000255316,0.0673934,12,2803274,14,19,18,18,11,37510,5024366
250,0.000521025,119.797,0.000259252,0.0978135,12,2962941,14,19,18,18,11,38498,5187865
260,0.000523358,124.331,0.000242311,0.0330327,12,3063475,14,19,18,18,11,39062,5300849
270,0.000547825,136.096,0.00024005,0.0549413,12,3208685,14,19,18,18,11,40096,5470741
280,0.00049525,128.65,0.000248028,0.0541999,12,3359773,14,19,18,18,11,41009,5633119
290,0.000488571,131.608,0.0002439,0.00612276,12,3486996,14,19,18,18,11,41741,5767004
300,0.000539283,148.692,0.000242765,0.00845908,12,3569748,14,19,18,18,11,42144,5838757
310,0.000476681,134.358,0.000243052,0.0193552,12,3650632,14,19,18,18,11,42613,5925483
320,0.000487376,142.159,0.000259282,0.0751055,12,3781418,14,19,18,18,11,43321,6052420
330,0.000524964,157.778,0.000250747,0.063931,12,3900149,14,19,18,18,11,44059,6183873
340,0.000511416,157.7,0.000251926,0.020709,12,4003330,14,19,18,18,11,44491,6270991
350,0.000537815,170.663,0.000253007,0.00395066,12,4123845,14,19,18,18,11,45319,6402383
360,0.000540719,174.594,0.00025432,0.0768456,12,4196443,14,19,18,18,11,45570,6456262
370,0.000533959,176.362,0.000250122,0.0652514,13,4294714,14,19,18,18,11,46039,6547356
380,0.000484965,164.015,0.000250608,0.0805001,13,4400217,14,19,18,18,11,46660,6658633
390,0.000485412,169.012,0.000251754,0.176756,13,4535152,14,19,18,18,11,47591,6807206
400,0.000495257,177.359,0.000248251,0.0628403,13,4668417,14,19,18,18,11,48217,6918207
410,0.000482625,177.387,0.000241205,0.00461628,13,4795377,14,19,18,18,11,48810,7026826
