N_docs,ExecutionTimeInsertionMean,ExecutionTimeInsertionTotal,ExecutionTimeSearchMean,ExecutionTimeSearchMax,NumComparisonsInsertionMean,NumComparisonsInsertionTotal,NumComparisonsSearchMean,NumComparisonsSearchMax,TreeHeight,MaxBranch,MinBranch,NumNodes,TreeSizeBytes
1,0.00142837,2.44109,0.000757568,0.00113014,9,16295,9,13,12,12,8,1709,182878
2,0.00141407,3.96787,0.000808964,0.00206284,10,28193,10,13,12,12,8,2456,264222
3,0.0014768,5.50698,0.000827229,0.00193656,10,38585,10,14,13,13,8,3068,331530
4,0.0014107,6.12668,0.000826952,0.00150308,10,45395,10,14,13,13,8,3361,364199
5,0.00146225,6.9603,0.000941974,0.00324198,10,50075,11,14,13,13,8,3591,390113
6,0.00156786,8.34888,0.000860825,0.00321998,10,56557,11,14,13,13,8,3896,424191
7,0.00145894,8.96081,0.000920117,0.00481614,10,66118,11,14,13,13,8,4334,472925
8,0.0014349,9.56077,0.000858207,0.0012858,10,71803,11,15,14,14,8,4483,490527
9,0.0014474,10.2215,0.000870721,0.00406254,10,76352,11,15,14,14,8,4656,510654
10,0.00145199,10.9785,0.000882809,0.00277358,10,82191,11,15,14,14,8,4868,535134
11,0.00149105,11.6496,0.000885874,0.00351214,10,85116,11,15,14,14,9,4953,544925
12,0.00144233,12.4906,0.000881889,0.00363934,10,95089,11,15,14,14,9,5334,588020
13,0.00144944,13.9509,0.000946772,0.00392634,11,106503,11,15,14,14,9,5742,634711
14,0.00156045,15.4578,0.000904615,0.00440018,11,109762,11,15,14,14,9,5832,645281
15,0.00144398,14.8932,0.000894426,0.00406986,11,114475,11,15,14,14,9,5973,661768
16,0.00144535,15.0895,0.000900788,0.00366164,11,115907,11,15,14,14,9,6005,665588
17,0.00157646,17.4546,0.000895806,0.00215232,11,123409,11,15,14,14,9,6251,694674
18,0.00145229,17.4042,0.000896436,0.00196442,11,134293,11,15,14,14,9,6562,731115
19,0.00146841,18.3376,0.000909107,0.00277056,11,140183,12,15,14,14,9,6720,749641
20,0.00146205,18.9584,0.00091024,0.00325992,11,145825,12,15,14,14,9,6870,767491
21,0.00144911,19.7615,0.000912286,0.00288432,11,153911,12,15,14,14,9,7132,797797
22,0.00144661,21.1219,0.000911113,0.00402916,11,165450,12,15,14,14,9,7384,828742
23,0.0014557,22.2605,0.000913822,0.00439824,11,173632,12,15,14,14,9,7534,847536
