N_docs,ExecutionTimeInsertionMean,ExecutionTimeInsertionTotal,ExecutionTimeSearchMean,ExecutionTimeSearchMax,NumComparisonsInsertionMean,NumComparisonsInsertionTotal,NumComparisonsSearchMean,NumComparisonsSearchMax,TreeHeight,MaxBranch,MinBranch,NumNodes,TreeSizeBytes
1,0.00139759,2.38849,0.00098389,0.00446134,11,19908,12,29,28,28,5,1709,182878
2,0.00135899,3.81333,0.00101412,0.00479948,12,34169,13,29,28,28,5,2456,264222
3,0.00139995,5.22043,0.00101325,0.00242056,12,46933,13,29,28,28,5,3068,331530
4,0.00138072,5.99648,0.00103532,0.00217954,12,55380,13,29,28,28,5,3361,364199
5,0.0018854,8.97452,0.00106463,0.00614522,12,61237,14,29,28,28,6,3591,390113
6,0.00140066,7.45852,0.0010587,0.00320648,12,68941,14,29,28,28,6,3896,424191
7,0.00158299,9.72273,0.00106731,0.00501476,13,80437,14,29,28,28,6,4334,472925
8,0.00139619,9.30279,0.0010953,0.00508242,13,87204,14,29,28,28,6,4483,490527
9,0.0014143,9.98782,0.00114476,0.0033795,13,92616,14,29,28,28,6,4656,510654
10,0.00144286,10.9095,0.00108618,0.0049589,13,99578,14,29,28,28,6,4868,535134
11,0.00141641,11.0664,0.00111928,0.0040528,13,103061,14,29,28,28,6,4953,544925
12,0.0014285,12.3708,0.00110714,0.0056596,13,115543,14,30,29,29,5,5334,588020
13,0.00157014,15.1126,0.00110142,0.00304302,13,129636,15,30,29,29,5,5742,634711
14,0.001434,14.2052,0.00113169,0.00559514,13,133510,15,30,29,29,5,5832,645281
15,0.00143118,14.7612,0.00120265,0.00489672,13,139391,15,30,29,29,5,5973,661768
16,0.00151444,15.8108,0.00112812,0.00489622,13,141047,15,30,29,29,5,6005,665588
17,0.00143898,15.9324,0.00113081,0.0051393,13,150083,15,30,29,29,6,6251,694674
18,0.0014457,17.3253,0.00114721,0.00501896,13,163919,15,31,30,30,6,6562,731115
19,0.00145607,18.1834,0.00113654,0.00459288,13,171090,15,31,30,30,6,6720,749641
20,0.00145112,18.8167,0.00115653,0.00513464,13,178009,15,31,30,30,5,6870,767491
