N_docs,ExecutionTimeInsertionMean,ExecutionTimeInsertionTotal,ExecutionTimeSearchMean,ExecutionTimeSearchMax,NumComparisonsInsertionMean,NumComparisonsInsertionTotal,NumComparisonsSearchMean,NumComparisonsSearchMax,TreeHeight,MaxBranch,MinBranch,NumNodes,TreeSizeBytes
10,0.00138169,10.4469,0.000968665,0.0013585,10,82729,11,15,14,14,8,4868,535134
20,0.00140699,18.2445,0.00100087,0.00144722,11,146475,12,16,15,15,9,6870,767491
30,0.00143454,32.6213,0.00104787,0.00155002,11,267393,12,16,15,15,9,10290,1167439
40,0.0014199,44.1403,0.0010675,0.00157706,11,371303,13,17,16,16,9,12380,1427043
50,0.00142614,56.9371,0.00108841,0.00165072,12,484603,13,17,16,16,9,14927,1735731
60,0.00143073,70.2173,0.00109703,0.00159456,12,601602,13,17,16,16,10,16726,1966775
70,0.00142722,79.8543,0.0011053,0.00162712,12,688772,13,18,17,17,10,17933,2129556
80,0.00143411,93.3346,0.0011131,0.0017322,12,806235,13,18,17,17,10,19453,2336345
90,0.00143385,104.473,0.00112191,0.00168308,12,905981,13,18,17,17,10,20573,2493896
100,0.00143912,117.43,0.00113066,0.0163754,12,1018551,13,18,17,17,10,21863,2673724
110,0.00143843,127.514,0.00113373,0.00162798,12,1110395,13,18,17,17,10,23170,2843218
120,0.00144154,137.714,0.00113748,0.00164178,12,1198621,13,18,17,17,10,23994,2964578
130,0.00145464,161.06,0.00114938,0.00173848,12,1400013,14,18,17,17,10,26476,3305811
140,0.00147992,177.366,0.00115254,0.0019052,12,1520027,14,18,17,17,10,27572,3469973
150,0.00145371,187.466,0.00116408,0.025313,12,1639445,14,18,17,17,10,28666,3632407
160,0.00145817,199.982,0.00115983,0.00176208,12,1746487,14,18,17,17,10,29552,3767886
170,0.00145839,210.674,0.00116142,0.00168688,12,1842364,14,18,17,17,10,30463,3902313
180,0.00146321,229.201,0.00116661,0.00188266,12,2004737,14,18,17,17,10,31960,4126544
190,0.00146138,244.556,0.00117198,0.00166794,12,2146936,14,18,17,17,10,33035,4296607
200,0.00148086,258.283,0.00117888,0.0317733,12,2239918,14,19,18,18,10,33744,4403529
210,0.00145836,262.412,0.00117623,0.0017339,12,2312109,14,19,18,18,10,34249,4483627
220,0.00145912,274.75,0.00117789,0.00174196,12,2422728,14,19,18,18,10,35013,4607313
230,0.00146757,288.754,0.00117999,0.00179894,12,2534999,14,19,18,18,10,35833,4735348
240,0.00152368,319.805,0.00118859,0.0129604,12,2711972,14,19,18,18,10,37349,4968313
250,0.00145626,317.756,0.00118918,0.0129096,12,2822600,14,19,18,18,10,38131,5092728
260,0.00146109,334.038,0.00118917,0.00175488,12,2962349,14,19,18,18,10,39213,5269671
270,0.00146521,349.018,0.00119422,0.00194734,12,3091137,14,19,18,18,10,40185,5426324
280,0.00146894,362.152,0.00119571,0.00179338,12,3200634,14,19,18,18,10,40713,5524402
290,0.00146244,374.553,0.0011983,0.00180954,12,3327807,14,19,18,18,10,41476,5655187
300,0.00147524,394.63,0.00120724,0.023419,13,3482618,14,19,18,18,10,42897,5865514
310,0.00147071,403.258,0.00120206,0.00183192,13,3571507,14,19,18,18,10,43330,5949134
320,0.00146687,415.136,0.0012057,0.00183172,13,3689258,14,19,18,18,10,43939,6061110
330,0.00146477,425.296,0.00120652,0.0119993,13,3787944,14,19,18,18,10,44593,6171540
340,0.00146643,441.279,0.00120752,0.00185634,13,3930919,14,19,18,18,10,45608,6334423
350,0.00147017,450.219,0.00120721,0.00174638,13,4000658,14,19,18,18,10,45929,6399860
360,0.0014689,460.941,0.0012156,0.0237253,13,4101803,14,19,18,18,10,46491,6494323
370,0.0014721,476.121,0.0012116,0.00181062,13,4230370,14,19,18,18,10,47083,6614462
380,0.00147028,487.074,0.00121422,0.00185506,13,4335482,14,19,18,18,10,47629,6714490
390,0.00147107,498.864,0.00121654,0.0165174,13,4440890,15,19,18,18,10,48187,6814080
400,0.00147565,514.468,0.00121476,0.00177422,13,4569674,15,19,18,18,10,48926,6944057
410,0.00147321,524.458,0.00121755,0.0129828,13,4667586,15,19,18,18,10,49419,7029205
420,0.00148481,545.824,0.00122193,0.00189806,13,4826233,15,19,18,18,10,50337,7185001
430,0.0014789,559.073,0.00122332,0.0127188,13,4966860,15,19,18,18,10,50889,7298998
440,0.00148372,579.593,0.0012238,0.0241121,13,5137920,15,19,18,18,10,51720,7457113
450,0.00147722,592.133,0.00122198,0.013138,13,5276457,15,19,18,18,10,52445,7588514
460,0.0014815,608.742,0.00122911,0.022658,13,5412116,15,19,18,18,10,53015,7697475
470,0.00147503,617.755,0.00122478,0.00180104,13,5518746,15,19,18,18,10,53524,7787100
480,0.00148115,631.739,0.00122807,0.0222461,13,5622398,15,19,18,18,10,54013,7882436
490,0.00148144,645.297,0.00122768,0.00189776,13,5744376,15,20,19,19,10,54456,7974442
500,0.00148483,660.542,0.00122906,0.01192,13,5869580,15,20,19,19,10,55026,8082286
510,0.00148073,668.724,0.00123232,0.00178752,13,5960091,15,20,19,19,10,55381,8149487
520,0.00147544,677.431,0.00123482,0.0142834,13,6060660,15,20,19,19,10,55813,8262348
530,0.00147809,690.621,0.00123254,0.0017936,13,6170552,15,20,19,19,10,56304,8366943
540,0.00148159,705.214,0.00123533,0.00192544,13,6289419,15,20,19,19,10,56820,8471725
550,0.00148097,718.475,0.00123159,0.0130134,13,6412376,15,20,19,19,10,57239,8567590
560,0.001476,729.201,0.001235,0.00180284,13,6531873,15,20,19,19,10,57687,8658454
570,0.00147754,743.432,0.00123649,0.0132453,13,6655287,15,20,19,19,10,58158,8764226
580,0.00147638,756.364,0.00123523,0.00182962,13,6779380,15,20,19,19,10,58616,8859053
590,0.00148131,769.331,0.00123669,0.0145601,13,6873583,15,20,19,19,10,58910,8929946
600,0.00147804,781.056,0.00123598,0.00470576,13,6997418,15,20,19,19,10,59443,9032982
610,0.0014834,798.617,0.00124267,0.0251739,13,7133228,15,20,19,19,10,59999,9143322
620,0.00148325,815.093,0.00123873,0.00183116,13,7285974,15,20,19,19,10,60614,9270187
630,0.00148146,828.916,0.00124252,0.0224337,13,7422081,15,20,19,19,10,61224,9393394
640,0.00148465,846.377,0.00124093,0.00184734,13,7566306,15,20,19,19,10,61811,9522435
650,0.00148349,860.062,0.00124356,0.00195266,13,7699517,15,20,19,19,10,62488,9654847
660,0.00148715,880.847,0.0012422,0.00186466,13,7871780,15,20,19,19,10,63181,9803236
670,0.00148973,894.259,0.0012464,0.00180186,13,7980088,15,20,19,19,10,63583,9890433
680,0.00148526,904.515,0.00124551,0.001896,13,8098841,15,20,19,19,10,64043,9976916
690,0.00150917,929.103,0.00124729,0.00217126,13,8188133,15,20,19,19,10,64295,10041796
700,0.00148653,936.341,0.0012492,0.00183842,13,8384146,15,20,19,19,10,65131,10202593
710,0.00149183,959.523,0.00125024,0.00189944,13,8567412,15,20,19,19,10,65889,10348111
720,0.001486,969.807,0.00125458,0.0237107,13,8696531,15,20,19,19,10,66303,10458597
