N_docs,NumComparisonsInsertion,ExecutionTimeInsertionMean,ExecutionTimeInsertion,NumComparisonsSearchMean,NumComparisonsSearchMax,ExecutionTimeSearchMean,ExecutionTimeSearchMax,TreeHeight,NumNodes
40,122339,0.000862363,7.9484,15,34,0.000549055,0.002484,33,4106
80,244031,0.000587884,10.4608,16,35,0.000555551,0.010588,34,6141
120,353197,0.000857902,21.8396,16,35,0.000548868,0.002038,34,7428
160,502719,0.000618223,22.1027,17,35,0.00054337,0.00423,34,8868
200,642787,0.000610628,27.6474,17,36,0.000551486,0.00177,35,9955
240,758802,0.000708014,37.7145,17,36,0.000570697,0.00275,35,10653
280,888737,0.000654274,40.6023,17,36,0.000546629,0.006528,35,11465
320,1028241,0.00061196,43.7631,17,36,0.000644813,0.429812,35,12174
360,1135847,0.000723392,57.0821,17,37,0.000556811,0.002076,36,12679
400,1254490,0.0005954,51.8177,17,37,0.000576485,0.004364,36,13112
440,1384096,0.000643269,61.6811,18,37,0.000568639,0.003054,36,13601
480,1508067,0.000604151,63.0317,18,37,0.000582915,0.00207,36,14015
520,1637060,0.000627441,70.9937,18,37,0.000557258,0.006056,36,14410
560,1743804,0.000638918,77.0011,18,37,0.000574208,0.002192,36,14678
600,1865429,0.000602977,77.6671,18,37,0.000577404,0.005656,36,14945
640,2023895,0.000717996,100.13,18,37,0.000581689,0.017316,36,15335
680,2167486,0.000590161,87.9541,18,37,0.000580273,0.002506,36,15695
720,2306100,0.000594121,94.1075,18,37,0.0005829,0.019492,36,15960
760,2416044,0.000742215,123.186,18,37,0.000571677,0.001828,36,16138
800,2537790,0.000656508,114.442,18,37,0.000706248,0.0118,36,16326
840,2669473,0.000594527,108.945,18,37,0.0007053,0.0352,36,16547
880,2806292,0.00064768,124.728,18,37,0.000981515,0.0427,36,16743
920,2954047,0.00118822,240.565,18,38,0.00090381,0.0248,37,17010
960,3091760,0.000739954,156.676,18,38,0.000857312,0.056,37,17183
1000,3249278,0.000809613,179.969,18,38,0.000881698,0.0355,37,17402
